"Filename","Time","Frequency"
"P7132037_05",1977533,51612
"P7132037_05",1977616,50632
"P7132037_05",1977733,40000
"P7132037_05",1977815,40201
"P7132037_05",1977911,44943
"P7132037_05",1977993,44943
"P7132037_05",1978078,47904
"P7132037_05",1978218,35555
"P7132037_05",1978301,35874
"P7132037_05",1978385,47904
"P7132037_05",1978467,48192
"P7132037_05",1978547,49382
"P7132037_05",1978632,48484
"P7132037_05",1978718,46783
"P7132037_05",1978804,46511
"P7132037_05",1978883,48484
"P7132037_05",1978967,49079
"P7132037_05",1979052,47337
"P7132037_05",1979138,46783
"P7132037_05",1979224,46511
"P7132037_05",1979307,47337
"P7132037_05",1979391,47904
"P7132037_05",1979476,47337
"P7132037_05",1979563,46511
"P7132037_05",1979649,46242
"P7132037_05",1979737,45977
"P7132037_05",1979819,47058
"P7132037_05",1979907,47058
"P7132037_05",1979991,46511
"P7132037_05",1980080,46242
"P7132037_05",1980169,44943
"P7132037_05",1980256,45454
"P7132037_05",1980343,45977
"P7132037_05",1980430,45977
"P7132037_05",1980519,45454
"P7132037_05",1980604,45977
"P7132037_05",1980691,46511
"P7132037_05",1980777,46242
"P7132037_05",1980863,46511
"P7132037_05",1980951,45977
"P7132037_05",1981040,45197
"P7132037_05",1981129,44943
"P7132037_05",1981218,44943
"P7132037_05",1981305,45454
"P7132037_05",1981393,45714
"P7132037_05",1981484,44692
"P7132037_05",1981571,44943
"P7132037_05",1981658,45977
"P7132037_05",1981747,45454
"P7132037_05",1981835,45197
"P7132037_05",1981924,45197
"P7132037_05",1982012,45197
"P7132037_05",1982101,45197
"P7132037_05",1982189,45197
"P7132037_05",1982278,45197
"P7132037_05",1982367,44943
"P7132037_05",1982456,44943
"P7132037_05",1982545,44943
"P7132037_05",1982634,44943
"P7132037_05",1982723,44943
"P7132037_05",1982812,44943
"P7132037_05",1982901,44943
"P7132037_05",1982990,44943
"P7132037_05",1983080,44692
"P7132037_05",1983169,44692
"P7132037_05",1983259,44692
"P7132037_05",1983348,44692
"P7132037_05",1983459,40000
"P7132037_05",1983549,39800
"P7132037_05",1983639,44444
"P7132037_05",1983727,44943
"P7132037_05",1983816,45197
"P7132037_05",1983907,44444
"P7132037_05",1983996,44444
"P7132037_05",1984085,44943
"P7132037_05",1984176,44444
"P7132037_05",1984265,44444
"P7132037_05",1984377,39800
"P7132037_05",1984490,35555
"P7132037_05",1984622,32653
"P7132037_05",1984800,25806
"P7132037_05",1984997,21333
"P7132037_05",1985313,15594
"P7132037_05",1985668,11922
"P7132037_05",1987010,4714
"P7132037_05",1994956,NA
"P7132037_05",2049824,NA
"P7132037_05",2065016,NA
"P7132037_05",2065212,NA
"P7132037_05",2065383,21798
"P7132037_05",2065551,23598
"P7132037_05",2065667,28169
"P7132037_05",2065741,42105
